2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
77,75,70,76,69,70,75,81,91,90,79,88,82,84,78
63,70,68,66,67,65,68,73,66,71,69,78,67,63,76
59,68,66,64,64,61,65,64,65,64,66,60,64,55,66
58,61,60,54,63,59,60,60,55,61,61,55,62,55,58
58,52,51,54,61,57,58,54,51,60,49,52,49,55,55
57,48,48,52,59,55,47,53,51,55,48,50,49,53,55
55,46,45,51,55,52,46,48,48,53,46,50,48,51,54
51,44,45,49,50,50,45,44,47,52,44,45,45,49,53
48,43,44,46,49,47,44,42,45,44,43,43,45,47,51
45,42,44,44,45,46,44,42,44,42,43,41,43,43,44
43,38,44,43,40,42,43,41,43,41,40,40,42,42,43
42,38,42,41,39,39,42,40,43,39,40,38,41,41,43
40,37,41,40,33,38,41,39,42,36,37,38,38,39,36
38,36,40,36,32,35,40,38,34,36,36,38,38,36,33
36,34,37,34,31,33,38,36,33,32,35,37,37,36,32
35,33,34,31,30,31,36,31,31,27,35,36,37,33,28
30,30,34,30,29,28,34,30,30,26,34,33,32,31,21
18,27,26,29,28,24,29,23,21,25,31,25,25,22,19
