2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
84,82,76,85,87,99,96,100,100,90,94,91,93,93,87
80,70,76,77,78,96,92,91,85,87,92,90,90,79,76
65,69,71,67,70,71,71,61,76,87,78,88,78,76,68
62,68,66,64,67,63,62,58,66,70,77,64,72,73,61
61,68,62,64,65,62,58,56,65,63,76,62,67,61,59
60,64,60,60,62,58,58,55,57,59,60,60,64,60,59
58,57,60,59,58,56,58,54,56,59,55,52,63,58,53
51,55,54,52,55,54,49,52,53,49,51,48,56,55,53
51,54,52,52,51,47,47,50,50,49,50,48,55,51,50
50,52,50,51,47,47,47,49,47,48,49,45,54,51,50
50,46,49,50,46,44,46,47,46,45,49,44,46,49,50
49,45,49,48,46,43,46,47,45,43,46,44,46,49,47
47,43,47,47,44,42,45,47,44,42,41,43,45,49,45
47,42,46,47,43,41,45,46,43,42,37,43,39,47,44
46,41,42,45,43,40,45,43,42,41,37,42,39,46,44
45,40,40,44,43,39,44,43,39,40,35,39,36,43,41
39,40,40,43,42,37,44,42,37,40,35,39,35,43,41
37,39,39,42,42,36,43,41,36,39,35,38,31,29,37
29,36,35,30,35,36,35,37,35,36,32,36,22,22,33
28,24,28,26,33,34,30,27,34,25,20,32,20,20,32
