2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
79,84,81,79,80,78,76,82,83,89,83,96,95,93,91
67,69,64,75,77,72,68,79,71,80,75,65,87,80,75
63,62,58,62,71,71,64,74,67,71,71,65,78,78,72
55,60,57,60,64,70,60,64,64,69,69,63,67,77,66
55,60,57,58,64,69,58,61,63,61,69,60,62,58,61
53,59,57,58,64,64,56,60,62,60,63,58,59,55,59
52,59,57,57,61,58,51,57,55,53,56,54,51,55,56
52,58,54,55,55,55,50,56,53,49,56,52,50,54,55
51,52,51,53,50,53,49,50,52,49,50,50,50,52,53
50,52,50,52,45,52,49,48,51,49,49,50,50,51,52
48,52,49,51,45,48,49,45,48,48,48,50,46,48,49
46,48,49,47,44,48,48,43,47,46,47,49,46,47,48
46,47,49,45,44,47,48,42,46,46,46,48,44,45,46
45,45,49,44,42,47,47,42,43,44,45,48,43,41,41
44,44,48,44,42,44,46,41,41,42,44,46,39,38,38
44,41,43,43,40,41,46,41,40,42,43,44,37,38,38
43,39,43,42,40,40,46,39,40,42,42,40,37,38,36
42,33,39,40,37,32,44,38,38,40,37,39,36,37,34
41,29,35,35,37,31,35,36,37,29,30,37,35,33,33
32,29,34,24,26,23,20,34,29,23,29,18,34,26,27
