2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
95,91,89,87,90,86,80,89,89,86,87,81,93,100,98
83,83,83,85,86,85,71,89,78,84,79,71,86,81,97
77,82,68,83,83,75,71,70,75,82,75,70,78,77,72
61,67,68,76,72,70,68,69,73,79,70,66,76,75,71
58,65,60,65,63,67,62,65,72,72,64,66,75,70,70
58,63,58,60,62,64,58,64,63,69,62,63,69,63,66
55,58,56,58,53,63,54,56,61,64,60,62,61,54,57
52,56,55,57,51,61,49,52,49,56,56,60,46,49,54
52,55,54,55,51,50,48,52,46,50,54,51,46,47,52
47,51,52,49,50,50,47,47,46,49,48,50,45,44,52
46,50,50,46,45,47,47,47,44,45,47,47,45,44,50
45,48,46,43,45,46,46,47,43,42,47,47,44,44,49
44,47,43,42,41,44,46,45,42,40,44,45,44,42,45
44,45,42,40,41,39,46,45,41,38,41,43,41,41,45
42,43,41,39,41,38,43,43,41,38,39,42,41,40,40
39,42,39,37,36,36,42,38,41,37,38,42,40,37,39
34,38,38,36,35,35,40,37,39,36,38,39,40,36,36
33,34,38,36,34,30,39,36,36,33,35,37,34,33,34
33,30,34,35,32,30,39,31,28,32,33,34,28,33,26
32,15,28,11,32,19,33,25,25,30,30,17,24,31,16
