2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
86,76,97,85,84,82,82,84,87,102,87,91,91,95,90
79,69,75,82,74,80,76,80,78,85,70,82,87,91,79
72,58,62,72,74,70,70,64,72,78,69,80,86,77,69
62,54,61,66,68,67,66,62,70,65,64,67,72,72,69
61,52,58,64,68,65,66,61,66,60,63,64,70,72,68
53,49,58,60,63,59,63,58,62,58,59,61,63,64,66
48,45,54,57,58,55,58,56,61,57,56,57,62,60,63
45,45,50,50,57,52,56,56,56,57,55,54,60,57,59
45,44,49,48,53,51,51,51,54,56,54,50,53,54,53
44,43,46,48,50,50,51,49,49,54,52,46,48,54,44
44,43,43,47,47,47,46,48,47,50,49,46,47,43,43
44,41,42,46,46,46,46,46,45,45,49,45,46,41,43
44,41,41,44,46,45,46,46,44,44,46,45,45,40,42
43,39,40,42,44,44,45,44,42,44,43,42,43,40,41
43,39,40,40,43,44,43,43,40,39,42,40,41,39,41
42,32,40,40,38,44,42,43,39,36,41,39,36,39,41
42,31,40,37,37,42,41,42,38,34,37,39,34,38,38
42,29,39,36,34,35,36,36,32,32,34,38,32,35,38
41,21,27,34,31,31,32,32,30,29,24,31,26,25,25
35,0,26,30,30,29,24,22,22,25,19,28,18,21,17
